model,family,cv_acc@0.5,fold_scores,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,max_bin,num_leaves,min_child_samples,min_split_gain,depth,l2_leaf_reg,random_strength,bagging_temperature,border_count,max_iter,min_samples_leaf,l2_regularization,max_bins
xgb,F1+F2,0.8165190383066835,"[0.7955215085444903, 0.8340935005701254, 0.8212450028555112, 0.8242210464432687, 0.8072625698324022]",0.012356040442055002,4.0,3.4871124715351045,0.9870002153650329,0.7732001331860706,0.004888601921156077,0.9484736825117216,2.193068333256668,512.0,,,,,,,,,,,,
xgb,F1+F2+F3,0.8150235821925688,"[0.7890394814378314, 0.8369441277080958, 0.8195316961736151, 0.8253968253968254, 0.8039106145251397]",0.012356040442055002,4.0,3.4871124715351045,0.9870002153650329,0.7732001331860706,0.004888601921156077,0.9484736825117216,2.193068333256668,512.0,,,,,,,,,,,,
lgb,F1+F2,0.8159438628781779,"[0.8055391868002357, 0.8312428734321551, 0.8183894917190178, 0.8271604938271605, 0.7977653631284917]",0.022936560561487036,6.0,,0.9964088101645963,0.5696066164710101,0.5529196833287731,8.421409040181434,,127.0,209.0,57.0,0.3721259620869226,,,,,,,,,
cat,F1+F2,0.8112274243644312,"[0.7967000589275192, 0.830672748004561, 0.8115362649914335, 0.8265726043503822, 0.7910614525139665]",0.009659799872300534,,,,,,,,,,,,9.0,2.319995131629357,0.9814606496200873,3.0940437596830224,66.0,,,,
hgb,F2+F3,0.8031749683653514,"[0.7707719505008839, 0.830102622576967, 0.8098229583095374, 0.807172251616696, 0.7972067039106145]",0.01830409259349598,4.0,,,,,,,,,,,,,,,,574.0,16.0,0.4822186881491532,128.0
lgb,F2+F3,0.805245599907972,"[0.7766647024160283, 0.8289623717217788, 0.8115362649914335, 0.807172251616696, 0.8011173184357542]",0.022936560561487036,6.0,,0.9964088101645963,0.5696066164710101,0.5529196833287731,8.421409040181434,,127.0,209.0,57.0,0.3721259620869226,,,,,,,,,
