model,family,cv_acc@0.5,fold_scores,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,max_bin,num_leaves,min_child_samples,min_split_gain
xgb,F1+F2,0.8157137927067756,"[0.7925751325869181, 0.8358038768529077, 0.8212450028555112, 0.823045267489712, 0.8055865921787709]",0.012356040442055002,4,3.4871124715351045,0.9870002153650329,0.7732001331860706,0.004888601921156077,0.9484736825117216,2.193068333256668,512,,,
lgb,F1+F2,0.8159438628781779,"[0.8055391868002357, 0.8312428734321551, 0.8183894917190178, 0.8271604938271605, 0.7977653631284917]",0.022936560561487036,6,,0.9964088101645963,0.5696066164710101,0.5529196833287731,8.421409040181434,,127,209.0,57.0,0.3721259620869226
xgb,F1+F2+F3,0.8157137927067756,"[0.7913965822038892, 0.8375142531356898, 0.817818389491719, 0.8224573780129336, 0.8089385474860336]",0.012356040442055002,4,3.4871124715351045,0.9870002153650329,0.7732001331860706,0.004888601921156077,0.9484736825117216,2.193068333256668,512,,,
